38,Władca Pierścieni: Powrót króla,The Lord of the Rings: The Return of the King,http://www.filmweb.pl/Powrot.Krola,2003,84,330455,68543,0000000124,966537,89,The Lord of the Rings: The Return of the King,2003
39,Ciekawy przypadek Benjamina Buttona,The Curious Case of Benjamin Button,http://www.filmweb.pl/film/Ciekawy+przypadek+Benjamina+Buttona-2008-123383,2008,77,332859,65196,0000001221,378554,78,The Curious Case of Benjamin Button,2008
40,Piękny umysł,A Beautiful Mind,http://www.filmweb.pl/Piekny.Umysl,2001,83,322135,1042,0000001321,460523,82,A Beautiful Mind,2001
41,Jestem legendą,I Am Legend,http://www.filmweb.pl/Jestem.Legenda,2007,75,321943,29410,0000012210,426708,72,I Am Legend,2007
42,Władca Pierścieni: Dwie wieże,The Lord of the Rings: The Two Towers,http://www.filmweb.pl/Dwie.Wieze,2002,84,317661,68544,0000000123,869876,88,The Lord of the Rings: The Two Towers,2002
43,Mr. & Mrs. Smith,,http://www.filmweb.pl/Mr.Mrs.Smith,2005,66,306683,44332,0000122100,274460,65,Mr. & Mrs. Smith,2005
45,Sherlock Holmes,,http://www.filmweb.pl/Sherlock.Holmes,2009,78,295122,57421,0000002311,390026,76,Sherlock Holmes,2009
46,Kiler,,http://www.filmweb.pl/Kiler,1997,77,292186,34214,0000002211,2436,76,Kiler,1997
47,Edward Nożycoręki,Edward Scissorhands,http://www.filmweb.pl/Edward.Nozycoreki,1990,78,291309,19553,0000001311,302297,80,Edward Scissorhands,1990
48,Hooligans,,http://www.filmweb.pl/Hooligans,2005,75,288658,28561,0000002311,101165,75,Hooligans,2005
49,Gran Torino,,http://www.filmweb.pl/film/Gran+Torino-2008-476580,2008,82,284215,25655,0000001321,456656,82,Gran Torino,2008
50,American Pie,,http://www.filmweb.pl/American.Pie,1999,65,284152,4079,0000012200,276440,70,American Pie,1999
51,300,,http://www.filmweb.pl/300,2006,76,281187,666,0000001212,515602,78,300,2006
52,Lśnienie,The Shining,http://www.filmweb.pl/Lsnienie,1980,79,280797,71152,0000001222,477540,85,The Shining,1980
53,Kevin sam w domu,Home Alone,http://www.filmweb.pl/film/Kevin+sam+w+domu-1990-6721,1990,71,279001,28373,0000012211,243201,74,Home Alone,1990
54,Piraci z Karaibów: Skrzynia umarlaka,Pirates of the Caribbean: Dead Man's Chest,http://www.filmweb.pl/Skrzynia.Umarlaka,2006,78,276658,50538,0000012211,427545,73,Pirates of the Caribbean: Dead Man's Chest,2006
55,Braveheart - Waleczne Serce,Braveheart,http://www.filmweb.pl/Waleczne.Serce,1995,82,274197,9727,0000001222,590519,84,Braveheart,1995
56,Kill Bill,Kill Bill: Vol. 1,http://www.filmweb.pl/Kill.Bill,2003,73,272895,34224,0000001222,580004,82,Kill Bill: Vol. 1,2003
57,Madagaskar,Madagascar,http://www.filmweb.pl/Madagaskar,2005,75,269176,40949,0000013200,209024,69,Madagascar,2005
58,Hannibal,,http://www.filmweb.pl/Hannibal,2001,76,262778,26659,0000023100,184313,67,Hannibal,2001
59,Diabeł ubiera się u Prady,The Devil Wears Prada,http://www.filmweb.pl/Diabel.Ubiera.Sie.U.Prady,2006,69,263389,65507,0000012100,227906,68,The Devil Wears Prada,2006
60,K-PAX,,http://www.filmweb.pl/K-pax,2001,76,261161,33269,0000012211,126808,74,K-PAX,2001
61,Chłopaki nie płaczą,,http://www.filmweb.pl/Chlopaki.Nie.Placza,2000,78,260360,12372,0000001212,2274,77,Chlopaki nie placza,2000
62,Django,Django Unchained,http://www.filmweb.pl/film/Django-2012-620541,2012,83,255468,17836,0000001232,694945,85,Django Unchained,2012
63,Lejdis,,http://www.filmweb.pl/Lejdis,2008,59,258498,38403,0000111100,1199,56,Lejdis,2008
64,Powrót do przyszłości,Back to the Future,http://www.filmweb.pl/film/Powr%C3%B3t+do+przysz%C5%82o%C5%9Bci-1985-8823,1985,73,254075,6285,0000001222,553198,85,Back to the Future,1985
65,Piraci z Karaibów: Na krańcu świata,Pirates of the Caribbean: At World's End,http://www.filmweb.pl/Na.Krancu.Swiata.Piraci.Z.Karaibow,2007,78,254726,50537,0000012211,385552,71,Pirates of the Caribbean: At World's End,2007
66,Park Jurajski,Jurassic Park,http://www.filmweb.pl/film/Park+Jurajski-1993-1212,1993,69,253686,33100,0000001311,438359,80,Jurassic Park,1993
67,Spider-Man,,http://www.filmweb.pl/Spiderman,2002,67,252613,59702,0000013210,441907,73,Spider-Man,2002
68,Zapach kobiety,Scent of a Woman,http://www.filmweb.pl/Zapach.Kobiety,1992,81,251215,56048,0000001321,167851,80,Scent of a Woman,1992
70,Troja,Troy,http://www.filmweb.pl/Troja,2004,73,245928,74969,0000012211,311678,72,Troy,2004
71,Alicja w Krainie Czarów,Alice in Wonderland,http://www.filmweb.pl/Alicja.W.Krainie.Czarow,2010,71,245172,3432,0000122100,253872,65,Alice in Wonderland,2010
72,Ace Ventura: Psi detektyw,Ace Ventura: Pet Detective,http://www.filmweb.pl/film/Ace+Ventura%3A+Psi+detektyw-1994-3690,1994,62,247796,2558,0000012100,178518,69,Ace Ventura: Pet Detective,1994
73,Harry Potter i Kamień Filozoficzny,Harry Potter and the Sorcerer's Stone,http://www.filmweb.pl/Harry.Potter.I.Kamien.Filozoficzny,2001,74,247633,26920,0000012211,362310,75,Harry Potter and the Sorcerer's Stone,2001
74,Pan życia i śmierci,Lord of War,http://www.filmweb.pl/Pan.Zycia.I.Smierci,2005,76,248015,39927,0000002311,222067,76,Lord of War,2005
75,Piąty element,The Fifth Element,http://www.filmweb.pl/Piaty.Element,1997,74,247545,66135,0000002211,288892,76,The Fifth Element,1997
76,Hobbit: Niezwykła podróż,The Hobbit: An Unexpected Journey,http://www.filmweb.pl/film/Hobbit%3A+Niezwyk%C5%82a+podr%C3%B3%C5%BC-2012-343217,2012,78,244444,67235,0000001222,515381,80,The Hobbit: An Unexpected Journey,2012
77,Lot nad kukułczym gniazdem,One Flew Over the Cuckoo's Nest,http://www.filmweb.pl/Lot.Nad.Kukulczym.Gniazdem,1975,86,242969,48124,0000000233,552938,87,One Flew Over the Cuckoo's Nest,1975
78,Batman - Początek,Batman Begins,http://www.filmweb.pl/Batman.Poczatek,2005,76,245043,6963,0000001222,755322,83,Batman Begins,2005
79,Lista Schindlera,Schindler's List,http://www.filmweb.pl/Lista.Schindlera,1993,84,242348,56077,0000000133,684332,89,Schindler's List,1993
80,Harry Potter i Czara Ognia,Harry Potter and the Goblet of Fire,http://www.filmweb.pl/Harry.Potter.I.Czara.Ognia,2005,75,240017,26916,0000002211,315774,76,Harry Potter and the Goblet of Fire,2005
81,Charlie i fabryka czekolady,Charlie and the Chocolate Factory,http://www.filmweb.pl/Charlie.I.Fabryka.Czekolady,2005,71,239388,11915,0000012100,260701,67,Charlie and the Chocolate Factory,2005
82,Harry Potter i więzień Azkabanu,Harry Potter and the Prisoner of Azkaban,http://www.filmweb.pl/Harry.Potter.I.Wiezien.Azkabanu,2004,76,238592,26919,0000002311,310040,78,Harry Potter and the Prisoner of Azkaban,2004
83,Testosteron,,http://www.filmweb.pl/Testosteron,2007,59,238838,62895,0000012110,1512,63,Testosteron,2007
84,Pachnidło: Historia mordercy,Perfume: The Story of a Murderer,http://www.filmweb.pl/Pachnidlo,2006,74,238555,50019,0000012211,165369,75,Perfume: The Story of a Murderer,2006
85,Prestiż,The Prestige,http://www.filmweb.pl/Prestiz,2006,81,236332,70186,0000001232,651722,85,The Prestige,2006
86,Głupi i głupszy,Dumb & Dumber,http://www.filmweb.pl/Glupi.Glupszy,1994,60,235088,19069,0000012211,246088,73,Dumb & Dumber,1994
87,Wywiad z wampirem,Interview with the Vampire: The Vampire Chronicles,http://www.filmweb.pl/Wywiad.Z.Wampirem,1994,78,234523,31165,0000002311,209570,76,Interview with the Vampire: The Vampire Chronicles,1994
88,Helikopter w ogniu,Black Hawk Down,http://www.filmweb.pl/Helikopter,2001,78,232189,8432,0000002311,249413,77,Black Hawk Down,2001
89,Zmierzch,Twilight,http://www.filmweb.pl/Zmierzch,2008,56,231580,75327,1000111001,303486,52,Twilight,2008
90,Transformers,,http://www.filmweb.pl/Transformers,2007,73,229501,74631,0000012211,439115,72,Transformers,2007
91,Filadelfia,Philadelphia,http://www.filmweb.pl/Filadelfia,1993,79,231007,50258,0000002311,157062,77,Philadelphia,1993
92,Czarny łabędź,Black Swan,http://www.filmweb.pl/film/Czarny+%C5%82ab%C4%99d%C5%BA-2010-526137,2010,77,229109,8499,0000001221,462177,80,Black Swan,2010
93,Maska,The Mask,http://www.filmweb.pl/film/Maska-1994-7585,1994,68,227902,68973,0000013100,216036,68,The Mask,1994
94,Stowarzyszenie Umarłych Poetów,Dead Poets Society,http://www.filmweb.pl/Stowarzyszenie.Umarlych.Poetow,1989,78,227181,15802,0000001321,237247,80,Dead Poets Society,1989
95,Co gryzie Gilberta Grape'a,What's Eating Gilbert Grape,http://www.filmweb.pl/Co.Gryzie.Gilberta.Grapea,1993,78,225292,78604,0000002311,147329,78,What's Eating Gilbert Grape,1993
96,Infiltracja,The Departed,http://www.filmweb.pl/Infiltracja,2006,80,222058,65469,0000001232,685002,85,The Departed,2006
97,Uprowadzona,Taken,http://www.filmweb.pl/film/Uprowadzona-2008-401089,2008,77,221128,62078,0000001311,405551,79,Taken,2008
98,Więzień nienawiści,American History X,http://www.filmweb.pl/Wiezien.Nienawisci,1998,82,220809,4048,0000000232,626754,86,American History X,1998
99,Iron Man,,http://www.filmweb.pl/Iron.Man,2008,76,221070,31371,0000001311,540329,79,Iron Man,2008
100,Wojna światów,War of the Worlds,http://www.filmweb.pl/Wojna.Swiatow,2005,62,218889,78071,0000122100,281893,65,War of the Worlds,2005
101,1408,,http://www.filmweb.pl/1408,2007,68,217667,308,0000012100,182841,68,1408,2007
102,Kac Vegas w Bangkoku,The Hangover Part II,http://www.filmweb.pl/film/Kac+Vegas+w+Bangkoku-2011-519960,2011,70,216159,67024,0000122100,306786,65,The Hangover Part II,2011
103,Za wszelką cenę,Million Dollar Baby,http://www.filmweb.pl/Za.Wszelka.Cene,2004,77,215163,43227,0000001321,380752,81,Million Dollar Baby,2004
104,V jak vendetta,V for Vendetta,http://www.filmweb.pl/V.Jak.Vendetta,2005,74,214068,76578,0000001222,634385,82,V for Vendetta,2005
105,Igrzyska śmierci,The Hunger Games,http://www.filmweb.pl/film/Igrzyska+%C5%9Bmierci-2012-504776,2012,71,209180,67422,0000012211,568176,73,The Hunger Games,2012
106,Faceci w czerni,Men in Black,http://www.filmweb.pl/film/Faceci+w+czerni-1997-5507,1997,71,212486,42633,0000013200,328258,72,Men in Black,1997
107,Transporter,The Transporter,http://www.filmweb.pl/Transporter,2002,73,212039,72085,0000023100,200459,68,The Transporter,2002
108,Straszny film,Scary Movie,http://www.filmweb.pl/film/Straszny+film-2000-1416,2000,63,209821,56023,0000122100,160985,62,Scary Movie,2000
109,Pamiętnik,The Notebook,http://www.filmweb.pl/Pamietnik,2004,81,204928,69563,0000001212,324108,80,The Notebook,2004
110,Sala samobójców,,http://www.filmweb.pl/film/Sala+samob%C3%B3jc%C3%B3w-2011-539509,2011,66,206412,55288,0000012112,4408,69,Sala samobójców,2011
111,Sin City - Miasto grzechu,Sin City,http://www.filmweb.pl/Sin.City,2005,75,205926,58089,0000001222,549738,81,Sin City,2005
112,Marzyciel,Finding Neverland,http://www.filmweb.pl/Marzyciel,2004,76,204689,22344,0000001211,158870,78,Finding Neverland,2004
113,Jak zostać królem,The King's Speech,http://www.filmweb.pl/film/Jak+zosta%C4%87+kr%C3%B3lem-2010-539270,2010,78,202938,67879,0000001321,380952,81,The King's Speech,2010
114,"Obcy - 8. pasażer ""Nostromo""",Alien,http://www.filmweb.pl/Obcy,1979,79,200165,3447,0000001222,446466,85,Alien,1979
115,Terminator 2: Dzień sądu,Terminator 2: Judgment Day,http://www.filmweb.pl/2.Terminator,1991,75,200031,62783,0000001222,592006,85,Terminator 2: Judgment Day,1991
116,"Ja, robot","I, Robot",http://www.filmweb.pl/Ja.Robot,2004,72,199134,29878,0000013200,308734,71,"I, Robot",2004
117,"Opowieści z Narnii: Lew, czarownica i stara szafa","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",http://www.filmweb.pl/Opowiesci.Z.Narnii.Lew.Czarownica.I.Stara.Szafa,2005,70,196912,64801,0000012101,239548,69,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005
118,Poszukiwacze zaginionej Arki,Raiders of the Lost Ark,http://www.filmweb.pl/Poszukiwacze.Zaginionej.Arki,1981,77,194996,52695,0000001222,530714,86,Raiders of the Lost Ark,1981
119,Wilk z Wall Street,The Wolf of Wall Street,http://www.filmweb.pl/film/Wilk+z+Wall+Street-2013-426597,2013,77,194535,72785,0000001222,492713,83,The Wolf of Wall Street,2013
120,Terminator,The Terminator,http://www.filmweb.pl/Terminator,1984,73,196805,71861,0000001321,468974,81,The Terminator,1984
121,Dziennik Bridget Jones,Bridget Jones's Diary,http://www.filmweb.pl/Dziennik.Bridget.Jones,2001,69,195276,9885,0000012100,141317,67,Bridget Jones's Diary,2001
122,Krwawy diament,Blood Diamond,http://www.filmweb.pl/Krwawy.Diament,2006,75,197256,8771,0000001321,330748,80,Blood Diamond,2006
123,Shrek 2,,http://www.filmweb.pl/2.Shrek,2004,73,196310,57748,0000013210,252423,73,Shrek 2,2004
124,Mgła,The Mist,http://www.filmweb.pl/2007.Mgla,2007,58,195070,69179,0000012211,186615,72,The Mist,2007
125,Sekretne okno,Secret Window,http://www.filmweb.pl/Sekretne.Okno,2004,71,193992,56455,0000122100,125562,66,Secret Window,2004
126,Jestem Bogiem,Limitless,http://www.filmweb.pl/film/Jestem+Bogiem-2011-548252,2011,76,193072,39317,0000012310,336103,74,Limitless,2011
127,Amelia,Le fabuleux destin d'Amélie Poulain,http://www.filmweb.pl/Amelia,2001,76,191491,37810,0000001223,429699,85,Le fabuleux destin d'Amélie Poulain,2001
128,2012,,http://www.filmweb.pl/2012,2009,63,190635,489,0000121100,236641,58,2012,2009
129,Ostatni samuraj,The Last Samurai,http://www.filmweb.pl/Ostatni.Samuraj,2003,76,189511,68116,0000002311,267950,77,The Last Samurai,2003
130,Harry Potter i Insygnia Śmierci: Część II,Harry Potter and the Deathly Hallows: Part 2,http://www.filmweb.pl/film/Harry+Potter+i+Insygnia+%C5%9Amierci%3A+Cz%C4%99%C5%9B%C4%87+II-2011-476021,2011,77,188372,26914,0000001222,409447,81,Harry Potter and the Deathly Hallows: Part 2,2011
