filmweb_id,title,title_original,filmweb_url,year,rating,vote_count,imdb_id,vote_distribution,vote_count,rating,title,year
54,Piraci z Karaibów: Skrzynia umarlaka,Pirates of the Caribbean: Dead Man's Chest,http://www.filmweb.pl/Skrzynia.Umarlaka,2006,78,276658
55,Braveheart - Waleczne Serce,Braveheart,http://www.filmweb.pl/Waleczne.Serce,1995,82,274197
56,Kill Bill,Kill Bill: Vol. 1,http://www.filmweb.pl/Kill.Bill,2003,73,272895
57,Madagaskar,Madagascar,http://www.filmweb.pl/Madagaskar,2005,75,269176
58,Hannibal,,http://www.filmweb.pl/Hannibal,2001,76,262778
59,Diabeł ubiera się u Prady,The Devil Wears Prada,http://www.filmweb.pl/Diabel.Ubiera.Sie.U.Prady,2006,69,263389
60,K-PAX,,http://www.filmweb.pl/K-pax,2001,76,261161
61,Chłopaki nie płaczą,,http://www.filmweb.pl/Chlopaki.Nie.Placza,2000,78,260360
62,Django,Django Unchained,http://www.filmweb.pl/film/Django-2012-620541,2012,83,255468
63,Lejdis,,http://www.filmweb.pl/Lejdis,2008,59,258498
64,Powrót do przyszłości,Back to the Future,http://www.filmweb.pl/film/Powr%C3%B3t+do+przysz%C5%82o%C5%9Bci-1985-8823,1985,73,254075
65,Piraci z Karaibów: Na krańcu świata,Pirates of the Caribbean: At World's End,http://www.filmweb.pl/Na.Krancu.Swiata.Piraci.Z.Karaibow,2007,78,254726
66,Park Jurajski,Jurassic Park,http://www.filmweb.pl/film/Park+Jurajski-1993-1212,1993,69,253686
67,Spider-Man,,http://www.filmweb.pl/Spiderman,2002,67,252613
68,Zapach kobiety,Scent of a Woman,http://www.filmweb.pl/Zapach.Kobiety,1992,81,251215
69,Miś,,http://www.filmweb.pl/Mis,1980,78,250778
70,Troja,Troy,http://www.filmweb.pl/Troja,2004,73,245928
71,Alicja w Krainie Czarów,Alice in Wonderland,http://www.filmweb.pl/Alicja.W.Krainie.Czarow,2010,71,245172
72,Ace Ventura: Psi detektyw,Ace Ventura: Pet Detective,http://www.filmweb.pl/film/Ace+Ventura%3A+Psi+detektyw-1994-3690,1994,62,247796
