Bękarty wojny,Inglourious Basterds,http://www.filmweb.pl/Bekarty.Wojny,2009,79,389763
Siedem,Se7en,http://www.filmweb.pl/Siedem,1995,84,377191
Pianista,The Pianist,http://www.filmweb.pl/Pianista,2002,83,376200
American Beauty,,http://www.filmweb.pl/American.Beauty,1999,76,372516
Truman Show,The Truman Show,http://www.filmweb.pl/Truman.Show,1998,74,367029
Incepcja,Inception,http://www.filmweb.pl/Incepcja,2010,83,359685
Król Lew,The Lion King,http://www.filmweb.pl/Krol.Lew,1994,83,344929
Ojciec chrzestny,The Godfather,http://www.filmweb.pl/Ojciec.Chrzestny,1972,87,351076
Efekt motyla,The Butterfly Effect,http://www.filmweb.pl/Efekt.Motyla,2004,78,348817
Nietykalni,Intouchables,http://www.filmweb.pl/film/Nietykalni-2011-583390,2011,87,341638
Wyspa tajemnic,Shutter Island,http://www.filmweb.pl/film/Wyspa+tajemnic-2010-464256,2010,81,346117
Bruce Wszechmogący,Bruce Almighty,http://www.filmweb.pl/Bruce.Wszechmogacy,2003,69,346335
Mroczny Rycerz,The Dark Knight,http://www.filmweb.pl/Mroczny.Rycerz,2008,80,341215
Siedem dusz,Seven Pounds,http://www.filmweb.pl/film/Siedem+dusz-2008-459974,2008,80,338319
Epoka lodowcowa,Ice Age,http://www.filmweb.pl/Epoka.Lodowcowa,2002,76,336079
Władca Pierścieni: Powrót króla,The Lord of the Rings: The Return of the King,http://www.filmweb.pl/Powrot.Krola,2003,84,330455
Ciekawy przypadek Benjamina Buttona,The Curious Case of Benjamin Button,http://www.filmweb.pl/film/Ciekawy+przypadek+Benjamina+Buttona-2008-123383,2008,77,332859
Piękny umysł,A Beautiful Mind,http://www.filmweb.pl/Piekny.Umysl,2001,83,322135
Jestem legendą,I Am Legend,http://www.filmweb.pl/Jestem.Legenda,2007,75,321943
Władca Pierścieni: Dwie wieże,The Lord of the Rings: The Two Towers,http://www.filmweb.pl/Dwie.Wieze,2002,84,317661
Mr. & Mrs. Smith,,http://www.filmweb.pl/Mr.Mrs.Smith,2005,66,306683
Adwokat diabła,The Devil's Advocate,http://www.filmweb.pl/Adwokat.Diabla,1997,80,302349
Sherlock Holmes,,http://www.filmweb.pl/Sherlock.Holmes,2009,78,295122
Kiler,,http://www.filmweb.pl/Kiler,1997,77,292186
Edward Nożycoręki,Edward Scissorhands,http://www.filmweb.pl/Edward.Nozycoreki,1990,78,291309
Hooligans,,http://www.filmweb.pl/Hooligans,2005,75,288658
Gran Torino,,http://www.filmweb.pl/film/Gran+Torino-2008-476580,2008,82,284215
American Pie,,http://www.filmweb.pl/American.Pie,1999,65,284152
300,,http://www.filmweb.pl/300,2006,76,281187
Lśnienie,The Shining,http://www.filmweb.pl/Lsnienie,1980,79,280797
Kevin sam w domu,Home Alone,http://www.filmweb.pl/film/Kevin+sam+w+domu-1990-6721,1990,71,279001
Piraci z Karaibów: Skrzynia umarlaka,Pirates of the Caribbean: Dead Man's Chest,http://www.filmweb.pl/Skrzynia.Umarlaka,2006,78,276658
Braveheart - Waleczne Serce,Braveheart,http://www.filmweb.pl/Waleczne.Serce,1995,82,274197
