Ja w środku tańczę,Inside I'm Dancing,2004,79,8665
Wycieczka na studia,College Road Trip,2008,58,8683
Makrokosmos,Le peuple migrateur,2001,76,8687
Podwójne życie,The Beaver,2011,66,8673
Szalona noc,Take Me Home Tonight,2011,62,8682
Parasol bezpieczeństwa,National Security,2003,69,8644
Hotel dla psów,Hotel for Dogs,2009,65,8661
Niesamowity jeździec,Pale Rider,1985,75,8664
Miłość i śmierć,Love and Death,1975,79,8648
Strach,Fear,1996,70,8646
Purpurowa róża z Kairu,The Purple Rose of Cairo,1985,74,8647
Pora mroku,,2008,38,8648
Niebo,Heaven,2002,72,8639
Jestem,,2005,72,8631
Cena prawdy,Nothing But the Truth,2008,72,8617
Legenda Herkulesa,The Legend of Hercules,2014,48,8584
Fahrenheit 9.11,Fahrenheit 9/11,2004,64,8553
Człowiek bez twarzy,The Man Without a Face,1993,75,8592
Ścigani,Crossing Over,2009,71,8529
Matka Joanna od Aniołów,,1961,78,8587
Bal maturalny,Prom,2011,60,8584
Looney Tunes znowu w akcji,Looney Tunes: Back in Action,2003,62,8584
Miś Yogi,Yogi Bear,2010,58,8574
Ósmoklasiści nie płaczą,Achtste Groepers Huilen Niet,2012,78,8553
Czerwona Sonja,Red Sonja,1985,58,8575
W pustyni i w puszczy,,1973,63,8498
W ciszy,The Quiet,2005,69,8565
Dom 1000 trupów,House of 1000 Corpses,2003,60,8564
Wiek niewinności,The Age of Innocence,1993,72,8539
Blokersi,,2001,66,8560
Hostel 3,Hostel: Part III,2011,51,8558
Tango,,1980,78,8547
Duma i uprzedzenie,Bride & Prejudice,2004,66,8555
Dziennik cwaniaczka,Diary of a Wimpy Kid,2010,65,8541
Battle Royale,Batoru rowaiaru,2000,70,8539
System,The Net,1995,67,8517
Olej Lorenza,Lorenzo's Oil,1992,74,8515
Gra o honor,He Got Game,1998,77,8517
15 minut,15 Minutes,2001,66,8508
Ocaleni,Passengers,2008,63,8513
Nowe szaty króla 2: Kronk - Nowe wcielenie,The Emperor's New Groove 2: Kronk's New Groove,2005,69,8499
Kwartet,Quartet,2012,71,8514
Ofiary wojny,Casualties of War,1989,76,8506
Szkoła czarownic,The Craft,1996,63,8502
Uniewinniony,Reasonable Doubt,2014,63,8436
Goło i wesoło,The Full Monty,1997,74,8479
Hitler: Narodziny zła,Hitler: The Rise of Evil,2003,74,8478
Immortal - Kobieta pułapka,Immortel (ad vitam),2004,61,8480
Appaloosa,,2008,66,8425
Lato miłości,My Summer of Love,2004,69,8467
K-9,,1989,69,8453
Nick i Norah,Nick and Norah's Infinite Playlist,2008,64,8450
Mów mi Vincent,St. Vincent,2014,72,2539
Pętla,,1957,79,8439
Wiem kto mnie zabił,I Know Who Killed Me,2007,49,8448
Napoleon Wybuchowiec,Napoleon Dynamite,2004,65,8442
Dragon Ball Z: Fuzja,Doragon bôru Z 12: Fukkatsu no fyushon!! Gokû to Bejîta,1995,75,8432
Palimpsest,,2006,63,8441
Plotka,Le placard,2000,70,8438
Kopciuszek. W rytmie miłości,A Cinderella Story: Once Upon a Song,2011,62,8408
Martha Marcy May Marlene,,2011,64,8417
W sieci,Disclosure,1994,67,8414
Kiwi!,,2006,76,8401
Męski sport,We Are Marshall,2006,75,8399
Bracia Karamazow,Karamazovi,2008,77,8408
Lorax,The Lorax,2012,66,8399
Chłopi,,1973,66,8414
Legendy ringu,Grudge Match,2013,67,8378
Interkosmos,Innerspace,1987,66,8391
Dom Glassów,The Glass House,2001,63,8386
Jak złamać 10 przykazań,The Ten,2007,46,8392
Czeski sen,Český sen,2004,72,8387
La Cara oculta,,2011,75,8366
Podróż za jeden uśmiech,,1972,75,8342
Przeklęta,Cursed,2005,49,8356
Czas Cyganów,Dom za vješanje,1988,80,8265
Płytki grób,Shallow Grave,1994,72,8360
Dorwać małego,Get Shorty,1995,64,8356
Zabawy z bronią,Bowling for Columbine,2002,74,8354
Szkoła uwodzenia 3,Cruel Intentions 3,2004,59,8353
Na własną rękę,Collateral Damage,2002,61,8345
Lalka,,1968,64,8335
Sknerus,Greedy,1994,66,8329
Artur i Minimki 3. Dwa światy,Arthur et la guerre des deux mondes,2010,65,8277
Kowboj Bebop,Cowboy Bebop: Tengoku no tobira,2001,80,8327
Oculus,,2013,62,7947
Tropiciele mogił II,Grave Encounters 2,2012,54,8091
Wehikuł czasu,The Time Machine,1960,75,8302
"Jako w piekle, tak i na Ziemi","As Above, So Below",2014,59,8091
Szczęki 3,Jaws 3-D,1983,48,8289
Kokainowi kowboje,Cocaine Cowboys,2006,79,8275
Wyścig śmierci 3: Piekło na ziemi,Death Race: Inferno,2012,61,8287
Droga smoka,Meng long guo jiang,1972,76,8210
Christine,,1983,69,8280
Alex Cross,,2012,55,8272
